word,count
passage,320
meaning,313
closest,306
their,250
which,227
following,206
other,152
According,146
species,118
century,118
about,117
United,115
States,111
author,104
PASSAGE,100
between,96
refers,92
large,92
American,90
people,89
cities,86
water,83
Which,82
mainly,82
Earth,75
first,74
important,73
early,72
these,72
animals,68
different,67
discuss,67
paragraph,65
development,65
inferred,62
during,61
nineteenth,60
because,60
small,60
years,59
mentions,57
North,57
became,56
EXCEPT,56
found,54
example,54
there,53
often,52
glass,52
artists,51
